"","assessed_value"
"1",292398.824444995
"2",274389.463223963
"3",503971.381529892
"4",267549.991273286
"5",267332.458772704
"6",109068.15722399
"7",322237.251012699
"8",65527.6737701244
"9",218517.061133671
"10",328660.53686981
"11",767146.941936138
"12",134215.245323094
"13",177185.600065661
"14",118074.733161025
"15",125001.88154226
"16",207998.073332563
"17",143750.33717369
"18",174595.923577569
"19",314458.346194462
"20",441564.460885765
"21",325264.487385205
"22",187147.236203384
"23",550666.653056428
"24",503213.558325748
"25",409981.680121848
"26",189882.147977681
"27",345470.708706687
"28",270090.014940829
"29",262036.756742937
"30",108871.587632577
"31",643419.945148683
"32",117364.755460716
"33",257422.971262826
"34",426104.120447586
"35",183957.30296148
"36",115567.061795425
"37",141966.1103991
"38",154563.547285377
"39",295348.991011718
"40",13041.9890996329
"41",72718.5229484573
"42",384069.861492602
"43",292625.977347274
"44",300658.938761052
"45",870773.553016912
"46",694615.267649119
"47",106220.676818165
"48",217661.921428653
"49",237190.84985481
"50",187506.991776725
"51",422634.682725943
"52",147266.342053821
"53",269503.892436612
"54",203870.990471773
"55",269927.026741174
"56",550530.523300954
"57",158253.320298669
"58",227425.030949158
"59",524545.989344029
"60",165300.061198367
"61",509871.430322366
"62",0
"63",227168.184136735
"64",266252.367297499
"65",552691.802382312
"66",167054.53094187
"67",279534.191166905
"68",273991.028595468
"69",65390.4245199572
"70",294856.864460028
"71",422426.711440113
"72",253685.071688014
"73",284985.970379136
"74",388165.27203606
"75",323870.534142077
"76",109064.974478308
"77",164448.422805382
"78",379757.224231153
"79",502050.738387858
"80",0
"81",283489.788558666
"82",199175.34099077
"83",456919.100116851
"84",0
"85",376344.380899368
"86",184528.72128942
"87",319657.985853245
"88",159778.540117774
"89",127344.035314626
"90",309429.278052235
"91",213868.859432998
"92",241506.674517111
"93",302942.27539701
"94",411507.7397313
"95",210027.063281852
"96",178768.279715833
"97",228150.414791534
"98",158741.328221293
"99",307900.912848151
"100",194297.412438915
"101",484644.239239793
"102",251867.714533731
"103",153722.456990846
"104",304033.813436145
"105",139253.729130831
"106",393844.531866706
"107",150746.04842438
"108",322209.640563983
"109",146269.967702095
"110",341279.257269436
"111",221858.687066217
"112",111534.62222534
"113",360987.124987204
"114",289871.982680162
"115",108639.462138319
"116",702089.857236625
"117",234123.35158843
"118",353168.469779945
"119",315046.186244031
"120",187475.389233704
"121",264204.936749724
"122",58034.8640266505
"123",224624.72346441
"124",693366.170907399
"125",479105.204373114
"126",259389.628018481
"127",411628.625599994
"128",424500.154238228
"129",335336.895464621
"130",207946.445896533
"131",580594.502044822
"132",319560.961719241
"133",353288.530207111
"134",366414.137078026
"135",183072.664087765
"136",0
"137",650096.845436499
"138",213535.893533229
"139",157181.810523232
"140",329655.391079693
"141",154414.801395939
"142",239997.799101394
"143",109740.343036537
"144",130965.830222545
"145",688089.070088573
"146",535488.526066966
"147",255132.889649528
"148",117472.098822519
"149",172860.73501204
"150",364407.708599226
"151",152576.50733419
"152",271501.238813862
"153",467911.368178035
"154",188110.707277924
"155",346120.926373906
"156",277159.118943036
"157",168560.421567352
"158",124317.924930451
"159",616289.093660199
"160",165619.569898146
"161",297417.757925572
"162",220245.840004557
"163",304565.544818433
"164",451531.387509114
"165",131112.530229683
"166",243538.404419269
"167",292042.420941297
"168",239866.746410513
"169",127492.94334055
"170",465755.977657759
"171",262797.707250192
"172",265758.742857054
"173",251586.900362924
"174",201291.457000263
"175",312361.813609766
"176",100351.204849193
"177",300057.451689821
"178",342160.43459284
"179",190076.246237509
"180",196491.172415099
"181",392830.391209468
"182",102515.467557163
"183",969298.361897318
"184",311713.59073433
"185",852495.158862218
"186",659313.671212855
"187",557984.704304858
"188",548652.57450867
"189",208806.996225085
"190",195864.927208645
"191",547882.44471101
"192",399238.260816173
"193",321896.165159289
"194",146642.399952603
"195",279782.165381115
"196",204872.852768477
"197",678652.864632674
"198",662304.91964069
"199",143270.740273136
"200",243973.037197741
"201",692650.719912897
"202",259834.491627751
"203",172064.376243923
"204",297636.875618346
"205",310779.416612115
"206",260892.885612908
"207",229901.362348233
"208",226556.195356048
"209",267225.440150621
"210",505949.961703457
"211",374805.075227226
"212",274753.135147121
"213",105119.067028165
"214",172923.632463938
"215",235626.367610292
"216",253366.46924171
"217",180043.420460496
"218",240374.448422274
"219",286197.858383424
"220",389734.084749941
"221",393332.828983115
"222",153684.004194978
"223",240551.935926254
"224",108622.992721946
"225",167243.406599216
"226",223014.311180773
"227",121351.92601175
"228",129267.569967409
"229",360056.653290803
"230",248421.467316329
"231",356151.821160715
"232",502205.576887367
"233",170237.600987154
"234",349170.888158074
"235",223884.813530116
"236",331737.443059557
"237",4008.69583735072
"238",205157.062598657
"239",279555.993157617
"240",401609.748640383
"241",316356.254287677
"242",124128.192953757
"243",146417.12650773
"244",312530.278097076
"245",192821.514375332
"246",263913.178953189
"247",220878.70978402
"248",401649.430307977
"249",198186.33158568
"250",324207.611318852
"251",258198.45581177
"252",523111.54580589
"253",301815.145885526
"254",524833.7916486
"255",191508.397196537
"256",191521.15549595
"257",223520.056128647
"258",339695.933269216
"259",344295.883003749
"260",279696.45280813
"261",354493.528496751
"262",358595.835245615
"263",267567.203115496
"264",329204.897800057
"265",312720.116361657
"266",288117.475441547
"267",396384.771090878
"268",453889.578654976
"269",519974.054543267
"270",180085.035751488
"271",225279.32448246
"272",530533.101259288
"273",213569.648641915
"274",219209.727958448
"275",254809.746349637
"276",321653.677687834
"277",113267.200683085
"278",314885.056515462
"279",384391.853145669
"280",437631.125879939
"281",400022.563039934
"282",258200.828544339
"283",236284.254625186
"284",174941.637701139
"285",263687.977699094
"286",491240.07386051
"287",197184.422864108
"288",212690.390022344
"289",394697.167187466
"290",259618.364740809
"291",149871.64565327
"292",983866.89101098
"293",346093.450590411
"294",211874.111348467
"295",67332.1774970797
"296",340217.342165274
"297",121908.198300991
"298",483253.25895372
"299",235004.716499979
"300",280751.830523528
"301",100829.033273944
"302",197791.394440229
"303",367663.351559738
"304",360048.115886375
"305",219491.355817277
"306",494005.695244407
"307",513191.290821281
"308",259432.780617176
"309",164064.93136915
"310",108327.368343303
"311",0
"312",392061.89403842
"313",316996.234446841
"314",79255.949407215
"315",98763.4437951496
"316",422676.719645656
"317",390614.447564832
"318",148847.42753598
"319",259616.766210438
"320",276360.189290209
"321",94507.3430109254
"322",77686.64433821
"323",385464.095912699
"324",408297.182645927
"325",203572.083050527
"326",259922.96598173
"327",120607.128524429
"328",281143.96644871
"329",385038.623364416
"330",248468.369402189
"331",141136.07515051
"332",330773.940010119
"333",537121.822580853
